year,bula_h,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1989,Bavaria,A Bit Too Small,0.12196,112,752,0.09856,0.14537
1989,Bavaria,Just Right,0.76459,581,752,0.73425,0.79494
1989,Bavaria,A Bit Too Large,0.08731,59,752,0.06712,0.10750
1989,Berlin,A Bit Too Small,0.18765,34,165,0.12789,0.24740
1989,Berlin,Just Right,0.73447,131,165,0.66688,0.80206
1990,Schleswig-Holstein,Just Right,0.74723,113,113,0.66674,0.82772
1990,Hamburg,Just Right,0.76940,82,82,0.67767,0.86113
1990,Lower Saxony,A Bit Too Small,0.08884,46,468,0.06304,0.11464
1990,Lower Saxony,Just Right,0.77534,370,468,0.73749,0.81319
1990,Lower Saxony,A Bit Too Large,0.12030,52,468,0.09079,0.14980
1990,Bremen,Just Right,0.84265,46,46,0.73626,0.94904
1990,North Rhine-Westphalia,A Bit Too Small,0.10881,146,1181,0.09104,0.12658
1990,North Rhine-Westphalia,Just Right,0.80957,975,1181,0.78717,0.83197
1990,North Rhine-Westphalia,A Bit Too Large,0.05752,60,1181,0.04423,0.07080
1990,Hesse,A Bit Too Small,0.13190,80,411,0.09915,0.16466
1990,Hesse,Just Right,0.76105,331,411,0.71978,0.80233
1990,"Rhineland-Palatinate, Saarland",Just Right,0.78639,249,249,0.73538,0.83740
1990,Baden-Wuerttemberg,A Bit Too Small,0.08029,91,792,0.06135,0.09923
1990,Baden-Wuerttemberg,Just Right,0.83566,666,792,0.80983,0.86148
1990,Baden-Wuerttemberg,A Bit Too Large,0.05632,35,792,0.04026,0.07239
1990,Bavaria,A Bit Too Small,0.11807,107,758,0.09508,0.14106
1990,Bavaria,Just Right,0.77271,593,758,0.74286,0.80257
1990,Bavaria,A Bit Too Large,0.08572,58,758,0.06578,0.10566
1990,Berlin,A Bit Too Small,0.19784,71,313,0.15364,0.24204
1990,Berlin,Just Right,0.72384,242,313,0.67423,0.77345
1990,Brandenburg,A Bit Too Small,0.18832,81,303,0.14422,0.23241
1990,Brandenburg,Just Right,0.66501,222,303,0.61178,0.71824
1990,Mecklenburg-Western Pomerania,A Bit Too Small,0.20481,51,193,0.14773,0.26190
1990,Mecklenburg-Western Pomerania,Just Right,0.63819,142,193,0.57022,0.70616
1990,Saxony,Much Too Small,0.06155,49,626,0.04270,0.08039
1990,Saxony,A Bit Too Small,0.23099,175,626,0.19795,0.26403
1990,Saxony,Just Right,0.65256,402,626,0.61523,0.68989
1990,Saxony-Anhalt,A Bit Too Small,0.19518,92,351,0.15365,0.23670
1990,Saxony-Anhalt,Just Right,0.70872,259,351,0.66112,0.75632
1990,Thuringa,A Bit Too Small,0.22199,85,321,0.17645,0.26752
1990,Thuringa,Just Right,0.66720,236,321,0.61557,0.71883
1991,Schleswig-Holstein,Just Right,0.71115,106,106,0.62446,0.79784
1991,Hamburg,Just Right,0.82300,78,78,0.73775,0.90825
1991,Lower Saxony,A Bit Too Small,0.16605,85,453,0.13174,0.20036
1991,Lower Saxony,Just Right,0.69004,321,453,0.64740,0.73267
1991,Lower Saxony,A Bit Too Large,0.12114,47,453,0.09105,0.15122
1991,Bremen,Just Right,0.79946,44,44,0.67978,0.91914
1991,North Rhine-Westphalia,Much Too Small,0.03110,50,1223,0.02137,0.04084
1991,North Rhine-Westphalia,A Bit Too Small,0.16807,235,1223,0.14710,0.18904
1991,North Rhine-Westphalia,Just Right,0.72513,868,1223,0.70010,0.75017
1991,North Rhine-Westphalia,A Bit Too Large,0.06909,70,1223,0.05487,0.08331
1991,Hesse,A Bit Too Small,0.14714,96,421,0.11326,0.18102
1991,Hesse,Just Right,0.70044,291,421,0.65663,0.74425
1991,Hesse,A Bit Too Large,0.11023,34,421,0.08028,0.14019
1991,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.12037,39,285,0.08253,0.15822
1991,"Rhineland-Palatinate, Saarland",Just Right,0.73987,246,285,0.68885,0.79090
1991,Baden-Wuerttemberg,Much Too Small,0.01556,31,802,0.00699,0.02413
1991,Baden-Wuerttemberg,A Bit Too Small,0.14611,132,802,0.12164,0.17057
1991,Baden-Wuerttemberg,Just Right,0.76762,604,802,0.73837,0.79687
1991,Baden-Wuerttemberg,A Bit Too Large,0.06372,35,802,0.04680,0.08063
1991,Bavaria,A Bit Too Small,0.13761,125,748,0.11291,0.16232
1991,Bavaria,Just Right,0.74385,559,748,0.71255,0.77516
1991,Bavaria,A Bit Too Large,0.09224,64,748,0.07149,0.11299
1991,Berlin,A Bit Too Small,0.19732,65,282,0.15079,0.24385
1991,Berlin,Just Right,0.71166,217,282,0.65870,0.76463
1991,Brandenburg,A Bit Too Small,0.17916,73,280,0.13416,0.22416
1991,Brandenburg,Just Right,0.68591,207,280,0.63145,0.74038
1991,Mecklenburg-Western Pomerania,A Bit Too Small,0.18173,42,187,0.12631,0.23715
1991,Mecklenburg-Western Pomerania,Just Right,0.67979,145,187,0.61274,0.74684
1991,Saxony,Much Too Small,0.04027,32,590,0.02440,0.05615
1991,Saxony,A Bit Too Small,0.20138,135,590,0.16899,0.23377
1991,Saxony,Just Right,0.68344,389,590,0.64587,0.72100
1991,Saxony,A Bit Too Large,0.06206,34,590,0.04258,0.08155
1991,Saxony-Anhalt,A Bit Too Small,0.17996,84,338,0.13895,0.22098
1991,Saxony-Anhalt,Just Right,0.73401,254,338,0.68683,0.78119
1991,Thuringa,A Bit Too Small,0.17072,57,307,0.12856,0.21288
1991,Thuringa,Just Right,0.75572,250,307,0.70758,0.80386
1992,Schleswig-Holstein,Just Right,0.68451,100,100,0.59297,0.77605
1992,Hamburg,Just Right,0.74214,64,64,0.63411,0.85016
1992,Lower Saxony,A Bit Too Small,0.14389,80,466,0.11199,0.17580
1992,Lower Saxony,Just Right,0.70692,338,466,0.66555,0.74830
1992,Lower Saxony,A Bit Too Large,0.11698,48,466,0.08777,0.14620
1992,Bremen,Just Right,0.67789,36,36,0.52308,0.83271
1992,North Rhine-Westphalia,Much Too Small,0.02838,51,1220,0.01906,0.03770
1992,North Rhine-Westphalia,A Bit Too Small,0.15940,230,1220,0.13885,0.17995
1992,North Rhine-Westphalia,Just Right,0.72578,868,1220,0.70074,0.75083
1992,North Rhine-Westphalia,A Bit Too Large,0.07654,71,1220,0.06161,0.09146
1992,Hesse,A Bit Too Small,0.13779,91,396,0.10380,0.17178
1992,Hesse,Just Right,0.73923,305,396,0.69593,0.78253
1992,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.16077,57,295,0.11878,0.20275
1992,"Rhineland-Palatinate, Saarland",Just Right,0.73676,238,295,0.68642,0.78710
1992,Baden-Wuerttemberg,Much Too Small,0.02805,45,801,0.01661,0.03950
1992,Baden-Wuerttemberg,A Bit Too Small,0.13841,130,801,0.11448,0.16234
1992,Baden-Wuerttemberg,Just Right,0.74995,583,801,0.71994,0.77996
1992,Baden-Wuerttemberg,A Bit Too Large,0.07710,43,801,0.05861,0.09558
1992,Bavaria,A Bit Too Small,0.13715,135,782,0.11302,0.16127
1992,Bavaria,Just Right,0.75675,589,782,0.72666,0.78684
1992,Bavaria,A Bit Too Large,0.08632,58,782,0.06663,0.10602
1992,Berlin,A Bit Too Small,0.22199,70,283,0.17348,0.27050
1992,Berlin,Just Right,0.69547,213,283,0.64176,0.74918
1992,Brandenburg,A Bit Too Small,0.19315,77,275,0.14641,0.23990
1992,Brandenburg,Just Right,0.66403,198,275,0.60811,0.71996
1992,Mecklenburg-Western Pomerania,A Bit Too Small,0.20417,45,178,0.14478,0.26355
1992,Mecklenburg-Western Pomerania,Just Right,0.70061,133,178,0.63314,0.76808
1992,Saxony,A Bit Too Small,0.18795,126,549,0.15524,0.22066
1992,Saxony,Just Right,0.70508,379,549,0.66690,0.74326
1992,Saxony,A Bit Too Large,0.07046,44,549,0.04903,0.09188
1992,Saxony-Anhalt,A Bit Too Small,0.16306,78,355,0.12458,0.20154
1992,Saxony-Anhalt,Just Right,0.70339,243,355,0.65581,0.75097
1992,Saxony-Anhalt,A Bit Too Large,0.11279,34,355,0.07984,0.14575
1992,Thuringa,A Bit Too Small,0.14766,48,300,0.10745,0.18787
1992,Thuringa,Just Right,0.76978,252,300,0.72207,0.81750
1993,Schleswig-Holstein,A Bit Too Small,0.17854,32,135,0.11370,0.24339
1993,Schleswig-Holstein,Just Right,0.66990,103,135,0.59028,0.74952
1993,Hamburg,Just Right,0.77605,66,66,0.67470,0.87740
1993,Lower Saxony,A Bit Too Small,0.12034,71,477,0.09111,0.14957
1993,Lower Saxony,Just Right,0.71523,354,477,0.67469,0.75578
1993,Lower Saxony,A Bit Too Large,0.12959,52,477,0.09941,0.15976
1993,Bremen,Just Right,0.72776,40,40,0.58807,0.86746
1993,North Rhine-Westphalia,Much Too Small,0.02928,58,1231,0.01986,0.03871
1993,North Rhine-Westphalia,A Bit Too Small,0.17521,254,1231,0.15397,0.19646
1993,North Rhine-Westphalia,Just Right,0.70404,837,1231,0.67853,0.72955
1993,North Rhine-Westphalia,A Bit Too Large,0.08510,82,1231,0.06951,0.10069
1993,Hesse,A Bit Too Small,0.15108,88,428,0.11711,0.18505
1993,Hesse,Just Right,0.72406,302,428,0.68166,0.76646
1993,Hesse,A Bit Too Large,0.10030,38,428,0.07181,0.12880
1993,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.13697,45,281,0.09670,0.17724
1993,"Rhineland-Palatinate, Saarland",Just Right,0.74280,236,281,0.69160,0.79400
1993,Baden-Wuerttemberg,Much Too Small,0.03209,45,805,0.01991,0.04427
1993,Baden-Wuerttemberg,A Bit Too Small,0.12693,126,805,0.10392,0.14995
1993,Baden-Wuerttemberg,Just Right,0.76652,592,805,0.73728,0.79576
1993,Baden-Wuerttemberg,A Bit Too Large,0.06690,42,805,0.04963,0.08417
1993,Bavaria,A Bit Too Small,0.15485,138,788,0.12957,0.18012
1993,Bavaria,Just Right,0.74146,588,788,0.71087,0.77205
1993,Bavaria,A Bit Too Large,0.08418,62,788,0.06478,0.10358
1993,Berlin,A Bit Too Small,0.24118,66,278,0.19080,0.29156
1993,Berlin,Just Right,0.66784,212,278,0.61237,0.72330
1993,Brandenburg,A Bit Too Small,0.17185,70,273,0.12702,0.21668
1993,Brandenburg,Just Right,0.68787,203,273,0.63280,0.74294
1993,Mecklenburg-Western Pomerania,A Bit Too Small,0.17292,41,179,0.11737,0.22848
1993,Mecklenburg-Western Pomerania,Just Right,0.72892,138,179,0.66362,0.79423
1993,Saxony,A Bit Too Small,0.19837,121,534,0.16451,0.23222
1993,Saxony,Just Right,0.69544,369,534,0.65637,0.73451
1993,Saxony,A Bit Too Large,0.07419,44,534,0.05194,0.09644
1993,Saxony-Anhalt,A Bit Too Small,0.15711,69,304,0.11613,0.19808
1993,Saxony-Anhalt,Just Right,0.68776,235,304,0.63558,0.73994
1993,Thuringa,A Bit Too Small,0.15911,53,286,0.11664,0.20158
1993,Thuringa,Just Right,0.77718,233,286,0.72886,0.82549
1994,Schleswig-Holstein,A Bit Too Small,0.18176,32,126,0.11415,0.24936
1994,Schleswig-Holstein,Just Right,0.64618,94,126,0.56236,0.73001
1994,Hamburg,Just Right,0.70490,60,60,0.58852,0.82128
1994,Lower Saxony,A Bit Too Small,0.10458,56,471,0.07691,0.13225
1994,Lower Saxony,Just Right,0.75036,365,471,0.71123,0.78949
1994,Lower Saxony,A Bit Too Large,0.11439,50,471,0.08562,0.14317
1994,Bremen,Just Right,0.79411,37,37,0.66202,0.92619
1994,North Rhine-Westphalia,Much Too Small,0.01998,47,1201,0.01206,0.02790
1994,North Rhine-Westphalia,A Bit Too Small,0.17038,232,1201,0.14910,0.19165
1994,North Rhine-Westphalia,Just Right,0.72677,852,1201,0.70156,0.75198
1994,North Rhine-Westphalia,A Bit Too Large,0.07559,70,1201,0.06063,0.09054
1994,Hesse,A Bit Too Small,0.13711,83,420,0.10417,0.17004
1994,Hesse,Just Right,0.71740,301,420,0.67429,0.76051
1994,Hesse,A Bit Too Large,0.11321,36,420,0.08288,0.14355
1994,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.13796,41,280,0.09749,0.17842
1994,"Rhineland-Palatinate, Saarland",Just Right,0.75478,239,280,0.70430,0.80526
1994,Baden-Wuerttemberg,A Bit Too Small,0.13099,131,761,0.10700,0.15498
1994,Baden-Wuerttemberg,Just Right,0.76076,588,761,0.73043,0.79109
1994,Baden-Wuerttemberg,A Bit Too Large,0.08094,42,761,0.06155,0.10033
1994,Bavaria,A Bit Too Small,0.12273,117,778,0.09966,0.14580
1994,Bavaria,Just Right,0.73090,584,778,0.69971,0.76208
1994,Bavaria,A Bit Too Large,0.11547,77,778,0.09300,0.13795
1994,Berlin,A Bit Too Small,0.23175,69,257,0.18006,0.28344
1994,Berlin,Just Right,0.65232,188,257,0.59398,0.71066
1994,Brandenburg,A Bit Too Small,0.16003,57,263,0.11563,0.20442
1994,Brandenburg,Just Right,0.71356,206,263,0.65882,0.76831
1994,Mecklenburg-Western Pomerania,A Bit Too Small,0.19285,41,174,0.13406,0.25165
1994,Mecklenburg-Western Pomerania,Just Right,0.71871,133,174,0.65171,0.78571
1994,Saxony,A Bit Too Small,0.16989,102,525,0.13773,0.20204
1994,Saxony,Just Right,0.68778,368,525,0.64810,0.72745
1994,Saxony,A Bit Too Large,0.10462,55,525,0.07841,0.13083
1994,Saxony-Anhalt,A Bit Too Small,0.21248,77,300,0.16611,0.25885
1994,Saxony-Anhalt,Just Right,0.67848,223,300,0.62553,0.73142
1994,Thuringa,A Bit Too Small,0.17697,57,293,0.13319,0.22074
1994,Thuringa,Just Right,0.73384,236,293,0.68315,0.78453
1995,Schleswig-Holstein,Just Right,0.64610,97,97,0.55044,0.74175
1995,Hamburg,Just Right,0.70786,58,58,0.58981,0.82592
1995,Lower Saxony,A Bit Too Small,0.12300,76,506,0.09436,0.15165
1995,Lower Saxony,Just Right,0.72130,371,506,0.68220,0.76041
1995,Lower Saxony,A Bit Too Large,0.12494,59,506,0.09610,0.15378
1995,Bremen,Just Right,0.73374,36,36,0.58730,0.88017
1995,North Rhine-Westphalia,Much Too Small,0.02284,57,1281,0.01465,0.03102
1995,North Rhine-Westphalia,A Bit Too Small,0.15502,232,1281,0.13519,0.17485
1995,North Rhine-Westphalia,Just Right,0.72471,905,1281,0.70024,0.74918
1995,North Rhine-Westphalia,A Bit Too Large,0.09161,87,1281,0.07581,0.10742
1995,Hesse,A Bit Too Small,0.15920,93,450,0.12536,0.19304
1995,Hesse,Just Right,0.71166,320,450,0.66976,0.75356
1995,Hesse,A Bit Too Large,0.09325,37,450,0.06635,0.12015
1995,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.15360,57,310,0.11340,0.19380
1995,"Rhineland-Palatinate, Saarland",Just Right,0.72703,253,310,0.67736,0.77670
1995,Baden-Wuerttemberg,A Bit Too Small,0.13064,145,801,0.10728,0.15399
1995,Baden-Wuerttemberg,Just Right,0.76682,613,801,0.73752,0.79612
1995,Baden-Wuerttemberg,A Bit Too Large,0.07850,43,801,0.05986,0.09714
1995,Bavaria,Much Too Small,0.03263,32,858,0.02073,0.04452
1995,Bavaria,A Bit Too Small,0.13563,130,858,0.11271,0.15856
1995,Bavaria,Just Right,0.71496,621,858,0.68473,0.74518
1995,Bavaria,A Bit Too Large,0.10863,75,858,0.08779,0.12946
1995,Berlin,A Bit Too Small,0.25482,75,273,0.20304,0.30661
1995,Berlin,Just Right,0.61192,198,273,0.55401,0.66983
1995,Brandenburg,A Bit Too Small,0.16777,58,248,0.12117,0.21437
1995,Brandenburg,Just Right,0.70105,190,248,0.64396,0.75815
1995,Mecklenburg-Western Pomerania,A Bit Too Small,0.17961,38,180,0.12338,0.23585
1995,Mecklenburg-Western Pomerania,Just Right,0.71208,142,180,0.64575,0.77842
1995,Saxony,A Bit Too Small,0.15653,90,514,0.12509,0.18798
1995,Saxony,Just Right,0.71686,374,514,0.67788,0.75585
1995,Saxony,A Bit Too Large,0.08937,50,514,0.06468,0.11406
1995,Saxony-Anhalt,A Bit Too Small,0.19158,71,300,0.14697,0.23618
1995,Saxony-Anhalt,Just Right,0.68356,229,300,0.63084,0.73627
1995,Thuringa,A Bit Too Small,0.16911,56,290,0.12589,0.21233
1995,Thuringa,Just Right,0.74066,234,290,0.69013,0.79119
1996,Schleswig-Holstein,A Bit Too Small,0.19125,31,124,0.12175,0.26076
1996,Schleswig-Holstein,Just Right,0.62500,93,124,0.53944,0.71055
1996,Hamburg,Just Right,0.68572,58,58,0.56520,0.80623
1996,Lower Saxony,A Bit Too Small,0.12381,75,515,0.09534,0.15229
1996,Lower Saxony,Just Right,0.71060,374,515,0.67139,0.74980
1996,Lower Saxony,A Bit Too Large,0.14677,66,515,0.11618,0.17737
1996,Bremen,Just Right,0.75794,39,39,0.62175,0.89413
1996,North Rhine-Westphalia,Much Too Small,0.02037,52,1265,0.01258,0.02816
1996,North Rhine-Westphalia,A Bit Too Small,0.14735,216,1265,0.12781,0.16689
1996,North Rhine-Westphalia,Just Right,0.71572,898,1265,0.69086,0.74059
1996,North Rhine-Westphalia,A Bit Too Large,0.10682,99,1265,0.08979,0.12384
1996,Hesse,A Bit Too Small,0.15383,82,440,0.12008,0.18758
1996,Hesse,Just Right,0.73639,324,440,0.69518,0.77761
1996,Hesse,A Bit Too Large,0.09212,34,440,0.06506,0.11917
1996,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.15987,54,335,0.12057,0.19918
1996,"Rhineland-Palatinate, Saarland",Just Right,0.70346,241,335,0.65447,0.75244
1996,"Rhineland-Palatinate, Saarland",A Bit Too Large,0.12556,40,335,0.09002,0.16109
1996,Baden-Wuerttemberg,A Bit Too Small,0.12746,140,792,0.10421,0.15070
