year,quintil_oecd_hh,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,1st Quintile,Much Too Small,0.03143,37,936,0.02024,0.04261
1987,1st Quintile,A Bit Too Small,0.12752,168,936,0.10614,0.14890
1987,1st Quintile,Just Right,0.76730,683,936,0.74021,0.79438
1987,1st Quintile,A Bit Too Large,0.06759,48,936,0.05150,0.08368
1987,2nd Quintile,A Bit Too Small,0.10113,135,971,0.08215,0.12010
1987,2nd Quintile,Just Right,0.80702,780,971,0.78218,0.83185
1987,2nd Quintile,A Bit Too Large,0.07082,56,971,0.05468,0.08696
1987,3rd Quintile,A Bit Too Small,0.10951,141,993,0.09007,0.12894
1987,3rd Quintile,Just Right,0.80267,798,993,0.77790,0.82744
1987,3rd Quintile,A Bit Too Large,0.06441,54,993,0.04914,0.07969
1987,4th Quintile,A Bit Too Small,0.11521,130,991,0.09533,0.13510
1987,4th Quintile,Just Right,0.77613,787,991,0.75017,0.80210
1987,4th Quintile,A Bit Too Large,0.08474,74,991,0.06740,0.10209
1987,5th Quintile,A Bit Too Small,0.09161,91,924,0.07300,0.11022
1987,5th Quintile,Just Right,0.76393,736,924,0.73653,0.79133
1987,5th Quintile,A Bit Too Large,0.12390,97,924,0.10265,0.14516
1988,1st Quintile,Much Too Small,0.02269,33,933,0.01313,0.03225
1988,1st Quintile,A Bit Too Small,0.12892,159,933,0.10740,0.15043
1988,1st Quintile,Just Right,0.78615,703,933,0.75983,0.81248
1988,1st Quintile,A Bit Too Large,0.05595,38,933,0.04119,0.07070
1988,2nd Quintile,Much Too Small,0.01881,31,958,0.01020,0.02742
1988,2nd Quintile,A Bit Too Small,0.09631,122,958,0.07762,0.11500
1988,2nd Quintile,Just Right,0.81687,753,958,0.79236,0.84138
1988,2nd Quintile,A Bit Too Large,0.06415,52,958,0.04863,0.07967
1988,3rd Quintile,A Bit Too Small,0.11865,138,950,0.09808,0.13923
1988,3rd Quintile,Just Right,0.78437,760,950,0.75820,0.81053
1988,3rd Quintile,A Bit Too Large,0.06809,52,950,0.05206,0.08412
1988,4th Quintile,A Bit Too Small,0.08734,97,944,0.06932,0.10536
1988,4th Quintile,Just Right,0.77905,763,944,0.75257,0.80553
1988,4th Quintile,A Bit Too Large,0.10506,84,944,0.08548,0.12463
1988,5th Quintile,A Bit Too Small,0.10397,97,874,0.08372,0.12421
1988,5th Quintile,Just Right,0.77054,688,874,0.74265,0.79844
1988,5th Quintile,A Bit Too Large,0.11298,89,874,0.09198,0.13398
1989,1st Quintile,Much Too Small,0.02562,35,901,0.01530,0.03595
1989,1st Quintile,A Bit Too Small,0.11473,150,901,0.09391,0.13555
1989,1st Quintile,Just Right,0.80217,682,901,0.77614,0.82819
1989,1st Quintile,A Bit Too Large,0.04904,34,901,0.03493,0.06315
1989,2nd Quintile,A Bit Too Small,0.11945,141,948,0.09879,0.14011
1989,2nd Quintile,Just Right,0.80222,755,948,0.77685,0.82759
1989,2nd Quintile,A Bit Too Large,0.06148,52,948,0.04618,0.07678
1989,3rd Quintile,A Bit Too Small,0.09707,115,916,0.07789,0.11625
1989,3rd Quintile,Just Right,0.79351,741,916,0.76728,0.81974
1989,3rd Quintile,A Bit Too Large,0.07554,60,916,0.05842,0.09267
1989,4th Quintile,A Bit Too Small,0.09969,96,916,0.08028,0.11910
1989,4th Quintile,Just Right,0.76987,740,916,0.74260,0.79715
1989,4th Quintile,A Bit Too Large,0.10831,80,916,0.08817,0.12845
1989,5th Quintile,A Bit Too Small,0.10050,90,833,0.08007,0.12093
1989,5th Quintile,Just Right,0.77206,654,833,0.74356,0.80057
1989,5th Quintile,A Bit Too Large,0.11350,89,833,0.09194,0.13505
1990,1st Quintile,Much Too Small,0.05854,152,2172,0.04866,0.06841
1990,1st Quintile,A Bit Too Small,0.21208,528,2172,0.19488,0.22927
1990,1st Quintile,Just Right,0.67121,1404,2172,0.65144,0.69097
1990,1st Quintile,A Bit Too Large,0.04847,88,2172,0.03944,0.05751
1990,2nd Quintile,Much Too Small,0.01907,38,1146,0.01115,0.02699
1990,2nd Quintile,A Bit Too Small,0.12862,181,1146,0.10923,0.14801
1990,2nd Quintile,Just Right,0.78877,875,1146,0.76513,0.81242
1990,2nd Quintile,A Bit Too Large,0.05732,52,1146,0.04385,0.07078
1990,3rd Quintile,Much Too Small,0.02026,32,1156,0.01214,0.02839
1990,3rd Quintile,A Bit Too Small,0.09807,145,1156,0.08091,0.11522
1990,3rd Quintile,Just Right,0.81018,917,1156,0.78756,0.83279
1990,3rd Quintile,A Bit Too Large,0.06556,62,1156,0.05128,0.07983
1990,4th Quintile,A Bit Too Small,0.11450,142,1109,0.09576,0.13325
1990,4th Quintile,Just Right,0.77840,885,1109,0.75395,0.80286
1990,4th Quintile,A Bit Too Large,0.08471,82,1109,0.06831,0.10111
1990,5th Quintile,A Bit Too Small,0.08893,95,1039,0.07162,0.10625
1990,5th Quintile,Just Right,0.79167,847,1039,0.76696,0.81637
1990,5th Quintile,A Bit Too Large,0.09957,97,1039,0.08135,0.11778
1991,1st Quintile,Much Too Small,0.04327,98,2016,0.03439,0.05216
1991,1st Quintile,A Bit Too Small,0.18463,428,2016,0.16769,0.20157
1991,1st Quintile,Just Right,0.70221,1386,2016,0.68224,0.72218
1991,1st Quintile,A Bit Too Large,0.05811,104,2016,0.04789,0.06832
1991,2nd Quintile,Much Too Small,0.02948,65,1116,0.01955,0.03941
1991,2nd Quintile,A Bit Too Small,0.15432,209,1116,0.13311,0.17552
1991,2nd Quintile,Just Right,0.74768,792,1116,0.72219,0.77318
1991,2nd Quintile,A Bit Too Large,0.06034,50,1116,0.04636,0.07432
1991,3rd Quintile,Much Too Small,0.02052,48,1146,0.01230,0.02873
1991,3rd Quintile,A Bit Too Small,0.15694,223,1146,0.13587,0.17801
1991,3rd Quintile,Just Right,0.74701,816,1146,0.72183,0.77219
1991,3rd Quintile,A Bit Too Large,0.06995,59,1146,0.05517,0.08472
1991,4th Quintile,A Bit Too Small,0.14613,189,1121,0.12544,0.16681
1991,4th Quintile,Just Right,0.74457,852,1121,0.71903,0.77011
1991,4th Quintile,A Bit Too Large,0.08899,80,1121,0.07232,0.10567
1991,5th Quintile,A Bit Too Small,0.15035,163,1009,0.12829,0.17242
1991,5th Quintile,Just Right,0.69524,733,1009,0.66682,0.72365
1991,5th Quintile,A Bit Too Large,0.12138,113,1009,0.10122,0.14154
1992,1st Quintile,Much Too Small,0.02563,53,1369,0.01726,0.03400
1992,1st Quintile,A Bit Too Small,0.14944,248,1369,0.13055,0.16833
1992,1st Quintile,Just Right,0.76170,995,1369,0.73912,0.78428
1992,1st Quintile,A Bit Too Large,0.05318,73,1369,0.04129,0.06507
1992,2nd Quintile,Much Too Small,0.03179,86,1462,0.02280,0.04079
1992,2nd Quintile,A Bit Too Small,0.17606,312,1462,0.15653,0.19559
1992,2nd Quintile,Just Right,0.70972,979,1462,0.68645,0.73300
1992,2nd Quintile,A Bit Too Large,0.07752,85,1462,0.06380,0.09123
1992,3rd Quintile,Much Too Small,0.03295,62,1312,0.02329,0.04262
1992,3rd Quintile,A Bit Too Small,0.17605,281,1312,0.15543,0.19667
1992,3rd Quintile,Just Right,0.71394,890,1312,0.68947,0.73840
1992,3rd Quintile,A Bit Too Large,0.07359,79,1312,0.05945,0.08772
1992,4th Quintile,Much Too Small,0.02159,35,1250,0.01353,0.02965
1992,4th Quintile,A Bit Too Small,0.16415,225,1250,0.14361,0.18470
1992,4th Quintile,Just Right,0.72037,896,1250,0.69548,0.74526
1992,4th Quintile,A Bit Too Large,0.08921,94,1250,0.07341,0.10502
1992,5th Quintile,A Bit Too Small,0.12682,157,1042,0.10661,0.14704
1992,5th Quintile,Just Right,0.72853,778,1042,0.70152,0.75555
1992,5th Quintile,A Bit Too Large,0.11718,107,1042,0.09764,0.13672
1993,1st Quintile,Much Too Small,0.02892,55,1281,0.01974,0.03810
1993,1st Quintile,A Bit Too Small,0.15718,251,1281,0.13724,0.17712
1993,1st Quintile,Just Right,0.74621,899,1281,0.72237,0.77005
1993,1st Quintile,A Bit Too Large,0.06082,76,1281,0.04772,0.07391
1993,2nd Quintile,Much Too Small,0.03808,82,1452,0.02824,0.04793
1993,2nd Quintile,A Bit Too Small,0.16964,292,1452,0.15033,0.18896
1993,2nd Quintile,Just Right,0.70916,988,1452,0.68579,0.73253
1993,2nd Quintile,A Bit Too Large,0.07390,90,1452,0.06044,0.08737
1993,3rd Quintile,Much Too Small,0.02053,49,1363,0.01300,0.02806
1993,3rd Quintile,A Bit Too Small,0.16115,251,1363,0.14163,0.18068
1993,3rd Quintile,Just Right,0.73493,967,1363,0.71149,0.75837
1993,3rd Quintile,A Bit Too Large,0.07893,96,1363,0.06461,0.09325
1993,4th Quintile,A Bit Too Small,0.16069,224,1223,0.14010,0.18129
1993,4th Quintile,Just Right,0.72288,901,1223,0.69779,0.74798
1993,4th Quintile,A Bit Too Large,0.09100,98,1223,0.07487,0.10713
1993,5th Quintile,A Bit Too Small,0.15088,181,1042,0.12914,0.17262
1993,5th Quintile,Just Right,0.69619,752,1042,0.66825,0.72413
1993,5th Quintile,A Bit Too Large,0.12476,109,1042,0.10468,0.14483
1994,1st Quintile,Much Too Small,0.03147,72,1291,0.02194,0.04100
1994,1st Quintile,A Bit Too Small,0.14719,238,1291,0.12785,0.16652
1994,1st Quintile,Just Right,0.73767,893,1291,0.71366,0.76167
1994,1st Quintile,A Bit Too Large,0.08005,88,1291,0.06525,0.09486
1994,2nd Quintile,Much Too Small,0.02971,60,1376,0.02074,0.03869
1994,2nd Quintile,A Bit Too Small,0.16332,263,1376,0.14378,0.18286
1994,2nd Quintile,Just Right,0.73676,978,1376,0.71348,0.76004
1994,2nd Quintile,A Bit Too Large,0.06110,75,1376,0.04844,0.07376
1994,3rd Quintile,Much Too Small,0.02146,50,1327,0.01366,0.02926
1994,3rd Quintile,A Bit Too Small,0.17199,249,1327,0.15168,0.19230
1994,3rd Quintile,Just Right,0.72862,943,1327,0.70469,0.75255
1994,3rd Quintile,A Bit Too Large,0.07111,85,1327,0.05728,0.08495
1994,4th Quintile,A Bit Too Small,0.15125,209,1180,0.13080,0.17170
1994,4th Quintile,Just Right,0.72883,876,1180,0.70346,0.75421
1994,4th Quintile,A Bit Too Large,0.09191,95,1180,0.07542,0.10840
1994,5th Quintile,A Bit Too Small,0.13452,162,1079,0.11415,0.15489
1994,5th Quintile,Just Right,0.69110,783,1079,0.66351,0.71868
1994,5th Quintile,A Bit Too Large,0.14630,134,1079,0.12520,0.16739
1995,1st Quintile,Much Too Small,0.04237,81,1374,0.03172,0.05303
1995,1st Quintile,A Bit Too Small,0.19012,308,1374,0.16936,0.21088
1995,1st Quintile,Just Right,0.69138,912,1374,0.66695,0.71581
1995,1st Quintile,A Bit Too Large,0.07130,73,1374,0.05769,0.08491
1995,2nd Quintile,Much Too Small,0.02182,57,1441,0.01428,0.02937
1995,2nd Quintile,A Bit Too Small,0.16992,288,1441,0.15052,0.18931
1995,2nd Quintile,Just Right,0.72199,1006,1441,0.69885,0.74513
1995,2nd Quintile,A Bit Too Large,0.07904,90,1441,0.06510,0.09298
1995,3rd Quintile,Much Too Small,0.02109,43,1381,0.01351,0.02867
1995,3rd Quintile,A Bit Too Small,0.16225,257,1381,0.14280,0.18170
1995,3rd Quintile,Just Right,0.71737,974,1381,0.69362,0.74113
1995,3rd Quintile,A Bit Too Large,0.09029,107,1381,0.07517,0.10541
1995,4th Quintile,A Bit Too Small,0.12649,176,1228,0.10789,0.14509
1995,4th Quintile,Just Right,0.73955,933,1228,0.71499,0.76410
1995,4th Quintile,A Bit Too Large,0.10831,119,1228,0.09092,0.12569
1995,5th Quintile,A Bit Too Small,0.12454,148,1093,0.10496,0.14413
1995,5th Quintile,Just Right,0.71068,813,1093,0.68378,0.73757
1995,5th Quintile,A Bit Too Large,0.13699,132,1093,0.11659,0.15738
1996,1st Quintile,Much Too Small,0.03945,84,1386,0.02920,0.04970
1996,1st Quintile,A Bit Too Small,0.15185,259,1386,0.13295,0.17075
1996,1st Quintile,Just Right,0.72162,962,1386,0.69802,0.74523
1996,1st Quintile,A Bit Too Large,0.08327,81,1386,0.06872,0.09782
1996,2nd Quintile,Much Too Small,0.01906,48,1372,0.01182,0.02630
1996,2nd Quintile,A Bit Too Small,0.17313,285,1372,0.15311,0.19316
1996,2nd Quintile,Just Right,0.72055,948,1372,0.69679,0.74430
1996,2nd Quintile,A Bit Too Large,0.07939,91,1372,0.06508,0.09370
1996,3rd Quintile,A Bit Too Small,0.16796,239,1347,0.14799,0.18793
1996,3rd Quintile,Just Right,0.70688,990,1347,0.68256,0.73120
1996,3rd Quintile,A Bit Too Large,0.10190,118,1347,0.08574,0.11806
1996,4th Quintile,A Bit Too Small,0.14753,198,1267,0.12800,0.16707
1996,4th Quintile,Just Right,0.72219,953,1267,0.69751,0.74686
1996,4th Quintile,A Bit Too Large,0.11391,116,1267,0.09641,0.13141
1996,5th Quintile,A Bit Too Small,0.12321,156,1076,0.10357,0.14286
1996,5th Quintile,Just Right,0.69200,782,1076,0.66440,0.71960
1996,5th Quintile,A Bit Too Large,0.15355,138,1076,0.13200,0.17510
1997,1st Quintile,Much Too Small,0.02029,51,1320,0.01268,0.02790
1997,1st Quintile,A Bit Too Small,0.19062,285,1320,0.16942,0.21181
1997,1st Quintile,Just Right,0.69377,912,1320,0.66889,0.71864
1997,1st Quintile,A Bit Too Large,0.08903,72,1320,0.07366,0.10440
1997,2nd Quintile,Much Too Small,0.02829,41,1401,0.01960,0.03698
1997,2nd Quintile,A Bit Too Small,0.15678,244,1401,0.13773,0.17583
1997,2nd Quintile,Just Right,0.72969,1022,1401,0.70643,0.75296
1997,2nd Quintile,A Bit Too Large,0.08049,94,1401,0.06624,0.09474
1997,3rd Quintile,Much Too Small,0.01568,31,1379,0.00912,0.02224
1997,3rd Quintile,A Bit Too Small,0.13994,216,1379,0.12162,0.15826
1997,3rd Quintile,Just Right,0.73601,1023,1379,0.71273,0.75928
1997,3rd Quintile,A Bit Too Large,0.10326,109,1379,0.08720,0.11933
1997,4th Quintile,A Bit Too Small,0.16502,217,1252,0.14445,0.18558
1997,4th Quintile,Just Right,0.71542,920,1252,0.69041,0.74042
1997,4th Quintile,A Bit Too Large,0.09808,115,1252,0.08160,0.11456
1997,5th Quintile,A Bit Too Small,0.13125,156,1072,0.11102,0.15147
1997,5th Quintile,Just Right,0.69062,786,1072,0.66293,0.71830
1997,5th Quintile,A Bit Too Large,0.15391,130,1072,0.13229,0.17552
1998,1st Quintile,Much Too Small,0.04223,84,1454,0.03188,0.05257
1998,1st Quintile,A Bit Too Small,0.19278,287,1454,0.17250,0.21307
1998,1st Quintile,Just Right,0.70016,1013,1454,0.67661,0.72372
1998,1st Quintile,A Bit Too Large,0.05805,70,1454,0.04602,0.07007
1998,2nd Quintile,Much Too Small,0.02960,44,1526,0.02109,0.03810
1998,2nd Quintile,A Bit Too Small,0.15521,273,1526,0.13704,0.17339
1998,2nd Quintile,Just Right,0.71368,1083,1526,0.69100,0.73637
1998,2nd Quintile,A Bit Too Large,0.09320,126,1526,0.07861,0.10779
1998,3rd Quintile,A Bit Too Small,0.13759,231,1468,0.11996,0.15521
1998,3rd Quintile,Just Right,0.72635,1095,1468,0.70354,0.74917
1998,3rd Quintile,A Bit Too Large,0.10901,142,1468,0.09306,0.12495
1998,4th Quintile,A Bit Too Small,0.12974,206,1441,0.11239,0.14710
1998,4th Quintile,Just Right,0.72947,1079,1441,0.70653,0.75242
1998,4th Quintile,A Bit Too Large,0.11890,156,1441,0.10219,0.13562
1998,5th Quintile,A Bit Too Small,0.11305,153,1252,0.09550,0.13059
1998,5th Quintile,Just Right,0.69387,921,1252,0.66833,0.71941
1998,5th Quintile,A Bit Too Large,0.16257,178,1252,0.14212,0.18302
1999,1st Quintile,Much Too Small,0.02889,56,1490,0.02038,0.03740
1999,1st Quintile,A Bit Too Small,0.16299,256,1490,0.14423,0.18175
1999,1st Quintile,Just Right,0.74548,1105,1490,0.72336,0.76761
1999,1st Quintile,A Bit Too Large,0.05751,73,1490,0.04569,0.06934
1999,2nd Quintile,Much Too Small,0.02041,37,1510,0.01328,0.02755
1999,2nd Quintile,A Bit Too Small,0.17379,281,1510,0.15467,0.19291
1999,2nd Quintile,Just Right,0.71940,1085,1510,0.69673,0.74207
1999,2nd Quintile,A Bit Too Large,0.08141,107,1510,0.06761,0.09521
1999,3rd Quintile,A Bit Too Small,0.13411,225,1452,0.11657,0.15164
1999,3rd Quintile,Just Right,0.76210,1112,1452,0.74020,0.78401
1999,3rd Quintile,A Bit Too Large,0.08722,115,1452,0.07271,0.10174
1999,4th Quintile,A Bit Too Small,0.14875,214,1358,0.12982,0.16769
1999,4th Quintile,Just Right,0.72650,1014,1358,0.70278,0.75022
1999,4th Quintile,A Bit Too Large,0.11161,130,1358,0.09485,0.12836
1999,5th Quintile,A Bit Too Small,0.11334,141,1203,0.09542,0.13126
1999,5th Quintile,Just Right,0.69912,880,1203,0.67319,0.72505
1999,5th Quintile,A Bit Too Large,0.16260,182,1203,0.14174,0.18346
2000,1st Quintile,Much Too Small,0.02889,87,2519,0.02235,0.03543
2000,1st Quintile,A Bit Too Small,0.16990,445,2519,0.15523,0.18456
2000,1st Quintile,Just Right,0.73494,1851,2519,0.71770,0.75218
2000,1st Quintile,A Bit Too Large,0.05804,136,2519,0.04891,0.06717
2000,2nd Quintile,Much Too Small,0.01706,50,2684,0.01216,0.02196
2000,2nd Quintile,A Bit Too Small,0.15298,434,2684,0.13936,0.16660
2000,2nd Quintile,Just Right,0.74938,2020,2684,0.73298,0.76578
2000,2nd Quintile,A Bit Too Large,0.07525,180,2684,0.06526,0.08523
2000,3rd Quintile,Much Too Small,0.01386,35,2613,0.00937,0.01834
2000,3rd Quintile,A Bit Too Small,0.12944,361,2613,0.11657,0.14232
2000,3rd Quintile,Just Right,0.75033,1971,2613,0.73373,0.76693
2000,3rd Quintile,A Bit Too Large,0.09524,246,2613,0.08398,0.10650
2000,4th Quintile,Much Too Small,0.01639,35,2566,0.01148,0.02131
2000,4th Quintile,A Bit Too Small,0.12022,307,2566,0.10764,0.13281
2000,4th Quintile,Just Right,0.74848,1957,2566,0.73169,0.76527
2000,4th Quintile,A Bit Too Large,0.10488,267,2566,0.09302,0.11673
2000,5th Quintile,Much Too Small,0.01366,32,2385,0.00900,0.01833
2000,5th Quintile,A Bit Too Small,0.11308,258,2385,0.10037,0.12580
2000,5th Quintile,Just Right,0.71757,1759,2385,0.69950,0.73564
2000,5th Quintile,A Bit Too Large,0.14072,336,2385,0.12676,0.15468
2001,1st Quintile,Much Too Small,0.03155,79,2210,0.02426,0.03884
2001,1st Quintile,A Bit Too Small,0.16287,382,2210,0.14748,0.17827
2001,1st Quintile,Just Right,0.74035,1627,2210,0.72207,0.75863
2001,1st Quintile,A Bit Too Large,0.06123,122,2210,0.05123,0.07122
2001,2nd Quintile,Much Too Small,0.02058,49,2442,0.01494,0.02621
2001,2nd Quintile,A Bit Too Small,0.13525,355,2442,0.12168,0.14881
2001,2nd Quintile,Just Right,0.75922,1876,2442,0.74226,0.77618
2001,2nd Quintile,A Bit Too Large,0.08030,162,2442,0.06952,0.09108
2001,3rd Quintile,Much Too Small,0.01588,40,2400,0.01087,0.02088
2001,3rd Quintile,A Bit Too Small,0.12927,336,2400,0.11584,0.14269
2001,3rd Quintile,Just Right,0.75114,1806,2400,0.73384,0.76844
2001,3rd Quintile,A Bit Too Large,0.09307,218,2400,0.08144,0.10469
2001,4th Quintile,A Bit Too Small,0.12446,288,2309,0.11099,0.13793
2001,4th Quintile,Just Right,0.74563,1770,2309,0.72786,0.76339
2001,4th Quintile,A Bit Too Large,0.11117,251,2309,0.09835,0.12400
2001,5th Quintile,A Bit Too Small,0.11941,245,2131,0.10564,0.13318
2001,5th Quintile,Just Right,0.70563,1578,2131,0.68627,0.72498
2001,5th Quintile,A Bit Too Large,0.14985,308,2131,0.13469,0.16500
2002,1st Quintile,Much Too Small,0.03462,86,2075,0.02675,0.04249
2002,1st Quintile,A Bit Too Small,0.17444,371,2075,0.15811,0.19078
2002,1st Quintile,Just Right,0.70810,1483,2075,0.68853,0.72767
2002,1st Quintile,A Bit Too Large,0.07346,135,2075,0.06223,0.08468
2002,2nd Quintile,Much Too Small,0.02387,57,2207,0.01750,0.03023
2002,2nd Quintile,A Bit Too Small,0.13204,312,2207,0.11791,0.14616
2002,2nd Quintile,Just Right,0.73485,1649,2207,0.71642,0.75327
2002,2nd Quintile,A Bit Too Large,0.09646,189,2207,0.08414,0.10878
2002,3rd Quintile,Much Too Small,0.01415,33,2259,0.00928,0.01902
2002,3rd Quintile,A Bit Too Small,0.13748,317,2259,0.12327,0.15168
2002,3rd Quintile,Just Right,0.73872,1680,2259,0.72060,0.75684
2002,3rd Quintile,A Bit Too Large,0.10527,229,2259,0.09261,0.11792
2002,4th Quintile,Much Too Small,0.01392,36,2359,0.00919,0.01865
2002,4th Quintile,A Bit Too Small,0.13208,325,2359,0.11842,0.14575
2002,4th Quintile,Just Right,0.71466,1697,2359,0.69643,0.73289
2002,4th Quintile,A Bit Too Large,0.12034,264,2359,0.10720,0.13347
2002,4th Quintile,Much Too Large,0.01900,37,2359,0.01349,0.02451
2002,5th Quintile,Much Too Small,0.01481,32,3226,0.01064,0.01898
2002,5th Quintile,A Bit Too Small,0.10979,386,3226,0.09900,0.12058
2002,5th Quintile,Just Right,0.68588,2275,3226,0.66986,0.70190
2002,5th Quintile,A Bit Too Large,0.16219,458,3226,0.14947,0.17492
2002,5th Quintile,Much Too Large,0.02733,75,3226,0.02170,0.03295
2003,1st Quintile,Much Too Small,0.03180,71,2025,0.02416,0.03944
2003,1st Quintile,A Bit Too Small,0.17101,358,2025,0.15461,0.18741
2003,1st Quintile,Just Right,0.71899,1469,2025,0.69941,0.73858
2003,1st Quintile,A Bit Too Large,0.06696,127,2025,0.05607,0.07785
2003,2nd Quintile,Much Too Small,0.02363,55,2185,0.01726,0.03000
2003,2nd Quintile,A Bit Too Small,0.13904,302,2185,0.12453,0.15355
2003,2nd Quintile,Just Right,0.73541,1638,2185,0.71691,0.75391
2003,2nd Quintile,A Bit Too Large,0.09372,190,2185,0.08149,0.10594
2003,3rd Quintile,A Bit Too Small,0.15631,366,2175,0.14105,0.17158
2003,3rd Quintile,Just Right,0.70629,1597,2175,0.68715,0.72544
2003,3rd Quintile,A Bit Too Large,0.10924,212,2175,0.09612,0.12235
2003,4th Quintile,A Bit Too Small,0.12725,302,2220,0.11338,0.14112
2003,4th Quintile,Just Right,0.72247,1634,2220,0.70384,0.74110
2003,4th Quintile,A Bit Too Large,0.12837,284,2220,0.11445,0.14229
2003,5th Quintile,A Bit Too Small,0.11745,326,3004,0.10593,0.12896
2003,5th Quintile,Just Right,0.68907,2168,3004,0.67252,0.70563
2003,5th Quintile,A Bit Too Large,0.16293,454,3004,0.14972,0.17614
2003,5th Quintile,Much Too Large,0.02126,56,3004,0.01610,0.02641
2004,1st Quintile,Much Too Small,0.02981,67,1936,0.02224,0.03739
2004,1st Quintile,A Bit Too Small,0.15181,296,1936,0.13582,0.16780
2004,1st Quintile,Just Right,0.73763,1446,1936,0.71802,0.75723
2004,1st Quintile,A Bit Too Large,0.07116,127,1936,0.05971,0.08262
2004,2nd Quintile,Much Too Small,0.02140,37,2139,0.01526,0.02753
2004,2nd Quintile,A Bit Too Small,0.13337,298,2139,0.11896,0.14778
2004,2nd Quintile,Just Right,0.75797,1640,2139,0.73981,0.77613
