year,hhtyp,sampreg,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,Single-person household,West,A Bit Too Small,0.09313,107,996,0.07508,0.11119
1988,Single-person household,West,Just Right,0.77426,795,996,0.74829,0.80024
1988,Single-person household,West,A Bit Too Large,0.10029,94,996,0.08162,0.11895
1988,Couple without children,West,A Bit Too Small,0.09308,112,1143,0.07623,0.10993
1988,Couple without children,West,Just Right,0.80802,934,1143,0.78518,0.83086
1988,Couple without children,West,A Bit Too Large,0.08716,97,1143,0.07080,0.10351
1988,Single parent,West,A Bit Too Small,0.12599,44,244,0.08427,0.16771
1988,Single parent,West,Just Right,0.78131,200,244,0.72934,0.83328
1988,Couple with children,West,Much Too Small,0.01759,58,2068,0.01192,0.02326
1988,Couple with children,West,A Bit Too Small,0.13324,326,2068,0.11859,0.14790
1988,Couple with children,West,Just Right,0.78293,1585,2068,0.76516,0.80070
1988,Couple with children,West,A Bit Too Large,0.06118,99,2068,0.05085,0.07151
1988,Multi-generational household,West,Just Right,0.76625,75,75,0.66983,0.86268
1988,Other Combinations,West,Just Right,0.84666,79,79,0.76670,0.92662
1989,Single-person household,West,A Bit Too Small,0.09506,114,1001,0.07688,0.11324
1989,Single-person household,West,Just Right,0.78093,796,1001,0.75529,0.80656
1989,Single-person household,West,A Bit Too Large,0.09759,91,1001,0.07920,0.11598
1989,Couple without children,West,A Bit Too Small,0.09536,111,1125,0.07819,0.11253
1989,Couple without children,West,Just Right,0.79976,921,1125,0.77636,0.82315
1989,Couple without children,West,A Bit Too Large,0.08468,93,1125,0.06840,0.10095
1989,Single parent,West,A Bit Too Small,0.11056,34,222,0.06922,0.15191
1989,Single parent,West,Just Right,0.77336,188,222,0.71816,0.82856
1989,Couple with children,West,Much Too Small,0.01763,54,1979,0.01183,0.02343
1989,Couple with children,West,A Bit Too Small,0.12628,304,1979,0.11164,0.14092
1989,Couple with children,West,Just Right,0.78661,1517,1979,0.76855,0.80466
1989,Couple with children,West,A Bit Too Large,0.06466,104,1979,0.05382,0.07550
1989,Multi-generational household,West,Just Right,0.73999,77,77,0.64137,0.83861
1989,Other Combinations,West,Just Right,0.86611,74,74,0.78799,0.94423
1990,Single-person household,West,A Bit Too Small,0.10430,113,966,0.08502,0.12359
1990,Single-person household,West,Just Right,0.78299,770,966,0.75698,0.80900
1990,Single-person household,West,A Bit Too Large,0.09044,83,966,0.07234,0.10853
1990,Single-person household,East,A Bit Too Small,0.14199,45,284,0.10133,0.18266
1990,Single-person household,East,Just Right,0.74154,239,284,0.69054,0.79255
1990,Couple without children,West,A Bit Too Small,0.09216,108,1150,0.07543,0.10888
1990,Couple without children,West,Just Right,0.80690,956,1150,0.78408,0.82972
1990,Couple without children,West,A Bit Too Large,0.07798,86,1150,0.06248,0.09349
1990,Couple without children,East,A Bit Too Small,0.15168,75,435,0.11793,0.18543
1990,Couple without children,East,Just Right,0.75742,360,435,0.71709,0.79774
1990,Single parent,West,A Bit Too Small,0.12250,33,227,0.07975,0.16524
1990,Single parent,West,Just Right,0.77095,194,227,0.71616,0.82574
1990,Single parent,East,A Bit Too Small,0.23608,32,112,0.15707,0.31508
1990,Single parent,East,Just Right,0.63492,80,112,0.54535,0.72448
1990,Couple with children,West,Much Too Small,0.01985,59,1928,0.01362,0.02608
1990,Couple with children,West,A Bit Too Small,0.12400,290,1928,0.10929,0.13872
1990,Couple with children,West,Just Right,0.79072,1479,1928,0.77256,0.80888
1990,Couple with children,West,A Bit Too Large,0.06303,100,1928,0.05218,0.07388
1990,Couple with children,East,Much Too Small,0.10678,111,1082,0.08837,0.12519
1990,Couple with children,East,A Bit Too Small,0.30866,351,1082,0.28113,0.33620
1990,Couple with children,East,Just Right,0.55707,620,1082,0.52746,0.58669
1990,Multi-generational household,West,Just Right,0.76477,86,86,0.67460,0.85494
1990,Multi-generational household,East,Just Right,0.69612,38,38,0.54792,0.84432
1990,Other Combinations,West,Just Right,0.82388,68,68,0.73267,0.91510
1990,Other Combinations,East,Just Right,0.62512,38,38,0.46914,0.78111
1991,Single-person household,West,A Bit Too Small,0.12096,127,950,0.10022,0.14171
1991,Single-person household,West,Just Right,0.74397,720,950,0.71620,0.77173
1991,Single-person household,West,A Bit Too Large,0.10324,103,950,0.08388,0.12260
1991,Single-person household,East,Just Right,0.77874,216,216,0.72325,0.83422
1991,Couple without children,West,A Bit Too Small,0.11927,153,1146,0.10050,0.13804
1991,Couple without children,West,Just Right,0.74806,880,1146,0.72292,0.77321
1991,Couple without children,West,A Bit Too Large,0.11254,113,1146,0.09424,0.13085
1991,Couple without children,East,A Bit Too Small,0.11112,49,435,0.08155,0.14069
1991,Couple without children,East,Just Right,0.80247,355,435,0.76501,0.83992
1991,Couple without children,East,A Bit Too Large,0.06606,31,435,0.04269,0.08943
1991,Single parent,West,A Bit Too Small,0.14274,40,239,0.09830,0.18718
1991,Single parent,West,Just Right,0.75955,199,239,0.70526,0.81384
1991,Single parent,East,A Bit Too Small,0.26641,31,96,0.17751,0.35531
1991,Single parent,East,Just Right,0.58474,65,96,0.48565,0.68383
1991,Couple with children,West,Much Too Small,0.03719,104,1901,0.02868,0.04570
1991,Couple with children,West,A Bit Too Small,0.21456,436,1901,0.19610,0.23302
1991,Couple with children,West,Just Right,0.69569,1291,1901,0.67501,0.71638
1991,Couple with children,West,A Bit Too Large,0.04832,70,1901,0.03868,0.05797
1991,Couple with children,East,Much Too Small,0.06902,69,1035,0.05357,0.08447
1991,Couple with children,East,A Bit Too Small,0.27152,283,1035,0.24441,0.29863
1991,Couple with children,East,Just Right,0.62768,652,1035,0.59821,0.65714
1991,Couple with children,East,A Bit Too Large,0.02930,31,1035,0.01902,0.03958
1991,Multi-generational household,West,Just Right,0.77760,74,74,0.68220,0.87300
1991,Multi-generational household,East,Just Right,0.63662,31,31,0.46451,0.80874
1991,Other Combinations,West,Just Right,0.73325,62,62,0.62226,0.84423
1991,Other Combinations,East,Just Right,0.58121,34,34,0.41288,0.74954
1992,Single-person household,West,A Bit Too Small,0.11995,128,949,0.09927,0.14063
1992,Single-person household,West,Just Right,0.75679,726,949,0.72947,0.78410
1992,Single-person household,West,A Bit Too Large,0.09883,95,949,0.07983,0.11782
1992,Single-person household,East,A Bit Too Small,0.11029,31,262,0.07228,0.14829
1992,Single-person household,East,Just Right,0.78334,231,262,0.73336,0.83332
1992,Couple without children,West,Much Too Small,0.02173,34,1199,0.01348,0.02999
1992,Couple without children,West,A Bit Too Small,0.11955,159,1199,0.10118,0.13793
1992,Couple without children,West,Just Right,0.75038,905,1199,0.72587,0.77488
1992,Couple without children,West,A Bit Too Large,0.10034,101,1199,0.08333,0.11736
1992,Couple without children,East,A Bit Too Small,0.09396,44,454,0.06709,0.12083
1992,Couple without children,East,Just Right,0.79445,360,454,0.75724,0.83166
1992,Couple without children,East,A Bit Too Large,0.09892,50,454,0.07142,0.12641
1992,Single parent,West,A Bit Too Small,0.16589,45,237,0.11843,0.21335
1992,Single parent,West,Just Right,0.73882,192,237,0.68278,0.79487
1992,Single parent,East,Just Right,0.66844,79,79,0.56396,0.77291
1992,Couple with children,West,Much Too Small,0.03944,112,1900,0.03068,0.04819
1992,Couple with children,West,A Bit Too Small,0.21921,447,1900,0.20060,0.23782
1992,Couple with children,West,Just Right,0.68423,1268,1900,0.66332,0.70514
1992,Couple with children,West,A Bit Too Large,0.05321,73,1900,0.04311,0.06330
1992,Couple with children,East,Much Too Small,0.05809,53,950,0.04320,0.07297
1992,Couple with children,East,A Bit Too Small,0.29240,281,950,0.26346,0.32134
1992,Couple with children,East,Just Right,0.59648,569,950,0.56526,0.62769
1992,Couple with children,East,A Bit Too Large,0.05027,47,950,0.03637,0.06417
1992,Multi-generational household,West,Just Right,0.68037,62,62,0.56334,0.79740
1992,Other Combinations,West,Just Right,0.76094,73,73,0.66242,0.85945
1992,Other Combinations,East,Just Right,0.64653,44,44,0.50365,0.78942
1993,Single-person household,West,A Bit Too Small,0.11709,128,1000,0.09715,0.13703
1993,Single-person household,West,Just Right,0.74417,763,1000,0.71711,0.77123
1993,Single-person household,West,A Bit Too Large,0.10278,109,1000,0.08395,0.12161
1993,Single-person household,East,Just Right,0.75878,225,261,0.70677,0.81078
1993,Single-person household,East,A Bit Too Large,0.11254,36,261,0.07413,0.15095
1993,Couple without children,West,Much Too Small,0.01855,33,1216,0.01096,0.02614
1993,Couple without children,West,A Bit Too Small,0.12846,162,1216,0.10965,0.14728
1993,Couple without children,West,Just Right,0.73926,903,1216,0.71457,0.76395
1993,Couple without children,West,A Bit Too Large,0.11073,118,1216,0.09309,0.12838
1993,Couple without children,East,A Bit Too Small,0.10659,56,462,0.07842,0.13476
1993,Couple without children,East,Just Right,0.77365,355,462,0.73545,0.81186
1993,Couple without children,East,A Bit Too Large,0.09867,51,462,0.07144,0.12589
1993,Single parent,West,A Bit Too Small,0.16756,41,221,0.11821,0.21691
1993,Single parent,West,Just Right,0.73027,180,221,0.67162,0.78892
1993,Single parent,East,Just Right,0.62974,76,76,0.52045,0.73902
1993,Couple with children,West,Much Too Small,0.03572,111,1863,0.02729,0.04415
1993,Couple with children,West,A Bit Too Small,0.21711,436,1863,0.19838,0.23584
1993,Couple with children,West,Just Right,0.69145,1233,1863,0.67047,0.71243
1993,Couple with children,West,A Bit Too Large,0.05492,83,1863,0.04458,0.06527
1993,Couple with children,East,Much Too Small,0.05189,37,881,0.03723,0.06654
1993,Couple with children,East,A Bit Too Small,0.28041,250,881,0.25073,0.31009
1993,Couple with children,East,Just Right,0.62090,559,881,0.58885,0.65296
1993,Couple with children,East,A Bit Too Large,0.04127,35,881,0.02813,0.05441
1993,Multi-generational household,West,Just Right,0.75288,77,77,0.65590,0.84985
1993,Other Combinations,West,Just Right,0.70333,73,73,0.59782,0.80885
1993,Other Combinations,East,Just Right,0.64936,35,35,0.48897,0.80975
1994,Single-person household,West,A Bit Too Small,0.10637,113,979,0.08705,0.12569
1994,Single-person household,West,Just Right,0.75729,753,979,0.73042,0.78416
1994,Single-person household,West,A Bit Too Large,0.10721,113,979,0.08782,0.12660
1994,Single-person household,East,A Bit Too Small,0.12950,37,305,0.09176,0.16724
1994,Single-person household,East,Just Right,0.74229,228,305,0.69312,0.79146
1994,Single-person household,East,A Bit Too Large,0.10701,40,305,0.07226,0.14176
1994,Couple without children,West,A Bit Too Small,0.12557,172,1211,0.10690,0.14424
1994,Couple without children,West,Just Right,0.74353,924,1211,0.71892,0.76813
1994,Couple without children,West,A Bit Too Large,0.11007,115,1211,0.09244,0.12771
1994,Couple without children,East,A Bit Too Small,0.12104,58,471,0.09156,0.15053
1994,Couple without children,East,Just Right,0.75135,359,471,0.71227,0.79042
1994,Couple without children,East,A Bit Too Large,0.11107,54,471,0.08266,0.13947
1994,Single parent,West,A Bit Too Small,0.18052,45,220,0.12958,0.23146
1994,Single parent,West,Just Right,0.70773,175,220,0.64749,0.76797
1994,Single parent,East,Just Right,0.70240,74,74,0.59752,0.80729
1994,Couple with children,West,Much Too Small,0.03613,106,1804,0.02751,0.04474
1994,Couple with children,West,A Bit Too Small,0.20686,393,1804,0.18816,0.22556
1994,Couple with children,West,Just Right,0.68893,1215,1804,0.66756,0.71029
1994,Couple with children,West,A Bit Too Large,0.06593,90,1804,0.05448,0.07739
1994,Couple with children,East,Much Too Small,0.07033,52,838,0.05301,0.08765
1994,Couple with children,East,A Bit Too Small,0.26598,221,838,0.23604,0.29591
1994,Couple with children,East,Just Right,0.61572,531,838,0.58276,0.64867
1994,Couple with children,East,A Bit Too Large,0.03858,34,838,0.02553,0.05163
1994,Multi-generational household,West,Just Right,0.78245,73,73,0.68715,0.87775
1994,Other Combinations,West,Just Right,0.71457,79,79,0.61434,0.81479
1994,Other Combinations,East,Just Right,0.57534,36,36,0.41158,0.73910
1995,Single-person household,West,A Bit Too Small,0.12158,140,1034,0.10165,0.14151
1995,Single-person household,West,Just Right,0.74296,785,1034,0.71631,0.76961
1995,Single-person household,West,A Bit Too Large,0.10919,109,1034,0.09017,0.12821
1995,Single-person household,East,A Bit Too Small,0.12644,38,318,0.08985,0.16303
1995,Single-person household,East,Just Right,0.76431,244,318,0.71759,0.81103
1995,Single-person household,East,A Bit Too Large,0.09172,36,318,0.05994,0.12349
1995,Couple without children,West,A Bit Too Small,0.10143,148,1270,0.08482,0.11804
1995,Couple without children,West,Just Right,0.75336,985,1270,0.72964,0.77708
1995,Couple without children,West,A Bit Too Large,0.12252,137,1270,0.10448,0.14056
1995,Couple without children,East,A Bit Too Small,0.11458,58,486,0.08623,0.14293
1995,Couple without children,East,Just Right,0.74721,371,486,0.70853,0.78589
1995,Couple without children,East,A Bit Too Large,0.12842,57,486,0.09865,0.15820
1995,Single parent,West,A Bit Too Small,0.19636,50,221,0.14387,0.24885
1995,Single parent,West,Just Right,0.63887,171,221,0.57540,0.70235
1995,Single parent,East,Just Right,0.67513,78,78,0.57052,0.77973
1995,Couple with children,West,Much Too Small,0.03942,102,1931,0.03074,0.04810
1995,Couple with children,West,A Bit Too Small,0.21025,441,1931,0.19207,0.22843
1995,Couple with children,West,Just Right,0.68359,1295,1931,0.66284,0.70434
1995,Couple with children,West,A Bit Too Large,0.06132,93,1931,0.05062,0.07202
1995,Couple with children,East,Much Too Small,0.05824,43,802,0.04202,0.07446
1995,Couple with children,East,A Bit Too Small,0.26743,203,802,0.23678,0.29808
1995,Couple with children,East,Just Right,0.61659,513,802,0.58292,0.65026
1995,Couple with children,East,A Bit Too Large,0.05317,43,802,0.03763,0.06870
1995,Multi-generational household,West,Just Right,0.61474,69,69,0.49907,0.73041
1995,Other Combinations,West,Just Right,0.65318,79,79,0.54755,0.75881
1995,Other Combinations,East,Just Right,0.59482,33,33,0.42472,0.76492
1996,Single-person household,West,A Bit Too Small,0.11505,122,1035,0.09560,0.13450
1996,Single-person household,West,Just Right,0.73094,787,1035,0.70391,0.75797
1996,Single-person household,West,A Bit Too Large,0.12772,126,1035,0.10737,0.14806
1996,Single-person household,East,A Bit Too Small,0.12202,39,334,0.08686,0.15717
1996,Single-person household,East,Just Right,0.75515,260,334,0.70897,0.80134
1996,Single-person household,East,A Bit Too Large,0.09536,35,334,0.06381,0.12691
1996,Couple without children,West,A Bit Too Small,0.10883,152,1261,0.09164,0.12603
1996,Couple without children,West,Just Right,0.73624,967,1261,0.71191,0.76057
1996,Couple without children,West,A Bit Too Large,0.13275,142,1261,0.11402,0.15149
1996,Couple without children,East,A Bit Too Small,0.11871,65,521,0.09091,0.14651
1996,Couple without children,East,Just Right,0.75981,400,521,0.72309,0.79653
1996,Couple without children,East,A Bit Too Large,0.10665,56,521,0.08012,0.13318
1996,Single parent,West,A Bit Too Small,0.17629,47,234,0.12736,0.22522
1996,Single parent,West,Just Right,0.67224,187,234,0.61197,0.73251
1996,Single parent,East,Just Right,0.66170,75,75,0.55390,0.76950
1996,Couple with children,West,Much Too Small,0.02749,79,1894,0.02012,0.03486
1996,Couple with children,West,A Bit Too Small,0.21348,437,1894,0.19502,0.23194
1996,Couple with children,West,Just Right,0.68587,1278,1894,0.66496,0.70678
1996,Couple with children,West,A Bit Too Large,0.06935,100,1894,0.05790,0.08079
1996,Couple with children,East,Much Too Small,0.06077,40,727,0.04339,0.07814
1996,Couple with children,East,A Bit Too Small,0.26374,193,727,0.23169,0.29580
1996,Couple with children,East,Just Right,0.63075,494,727,0.59565,0.66586
1996,Multi-generational household,West,Just Right,0.70149,66,66,0.59025,0.81274
1996,Other Combinations,West,Just Right,0.62264,71,71,0.50909,0.73619
1996,Other Combinations,East,Just Right,0.59370,36,36,0.43099,0.75642
1997,Single-person household,West,A Bit Too Small,0.12957,144,1009,0.10884,0.15030
1997,Single-person household,West,Just Right,0.70968,742,1009,0.68166,0.73771
1997,Single-person household,West,A Bit Too Large,0.13394,123,1009,0.11292,0.15497
1997,Single-person household,East,A Bit Too Small,0.13823,44,336,0.10127,0.17518
1997,Single-person household,East,Just Right,0.73148,256,336,0.68402,0.77894
1997,Single-person household,East,A Bit Too Large,0.09814,36,336,0.06628,0.13000
1997,Couple without children,West,A Bit Too Small,0.10813,155,1299,0.09124,0.12503
1997,Couple without children,West,Just Right,0.75210,1010,1299,0.72861,0.77559
1997,Couple without children,West,A Bit Too Large,0.12187,134,1299,0.10407,0.13967
1997,Couple without children,East,A Bit Too Small,0.12098,65,536,0.09335,0.14861
1997,Couple without children,East,Just Right,0.74977,414,536,0.71306,0.78647
1997,Couple without children,East,A Bit Too Large,0.11475,57,536,0.08774,0.14176
1997,Single parent,West,A Bit Too Small,0.15387,44,244,0.10850,0.19924
1997,Single parent,West,Just Right,0.72358,200,244,0.66735,0.77981
1997,Single parent,East,Just Right,0.69058,86,86,0.59231,0.78885
1997,Couple with children,West,Much Too Small,0.02280,68,1852,0.01600,0.02960
1997,Couple with children,West,A Bit Too Small,0.22320,418,1852,0.20423,0.24216
1997,Couple with children,West,Just Right,0.68391,1269,1852,0.66273,0.70509
1997,Couple with children,West,A Bit Too Large,0.06999,97,1852,0.05837,0.08162
1997,Couple with children,East,A Bit Too Small,0.22918,167,699,0.19799,0.26036
1997,Couple with children,East,Just Right,0.68287,501,699,0.64835,0.71740
1997,Couple with children,East,A Bit Too Large,0.04770,31,699,0.03189,0.06351
1997,Multi-generational household,West,Just Right,0.71524,67,67,0.60636,0.82412
1997,Other Combinations,West,Just Right,0.65717,71,71,0.54597,0.76836
1997,Other Combinations,East,Just Right,0.46626,32,32,0.29065,0.64187
1998,Single-person household,West,Much Too Small,0.02407,36,1248,0.01556,0.03257
1998,Single-person household,West,A Bit Too Small,0.11487,159,1248,0.09717,0.13257
1998,Single-person household,West,Just Right,0.71647,900,1248,0.69146,0.74149
1998,Single-person household,West,A Bit Too Large,0.13113,153,1248,0.11240,0.14987
1998,Single-person household,East,A Bit Too Small,0.12488,46,393,0.09216,0.15761
1998,Single-person household,East,Just Right,0.71948,291,393,0.67501,0.76395
1998,Single-person household,East,A Bit Too Large,0.13579,56,393,0.10188,0.16971
1998,Couple without children,West,A Bit Too Small,0.09595,155,1510,0.08109,0.11081
1998,Couple without children,West,Just Right,0.75155,1186,1510,0.72975,0.77335
1998,Couple without children,West,A Bit Too Large,0.12923,169,1510,0.11230,0.14615
1998,Couple without children,East,A Bit Too Small,0.11399,69,585,0.08821,0.13977
1998,Couple without children,East,Just Right,0.72538,440,585,0.68918,0.76158
1998,Couple without children,East,A Bit Too Large,0.14037,76,585,0.11220,0.16855
1998,Single parent,West,A Bit Too Small,0.21054,64,271,0.16191,0.25917
1998,Single parent,West,Just Right,0.64143,207,271,0.58422,0.69863
1998,Single parent,East,Just Right,0.66399,83,83,0.56175,0.76622
1998,Couple with children,West,Much Too Small,0.03211,74,1996,0.02437,0.03984
1998,Couple with children,West,A Bit Too Small,0.20354,423,1996,0.18588,0.22121
1998,Couple with children,West,Just Right,0.69612,1381,1996,0.67593,0.71630
1998,Couple with children,West,A Bit Too Large,0.06196,118,1996,0.05138,0.07254
1998,Couple with children,East,A Bit Too Small,0.21896,157,724,0.18881,0.24910
1998,Couple with children,East,Just Right,0.67696,525,724,0.64287,0.71104
1998,Couple with children,East,A Bit Too Large,0.06680,42,724,0.04860,0.08500
1998,Multi-generational household,West,Just Right,0.61306,50,50,0.47669,0.74943
1998,Other Combinations,West,Just Right,0.73255,78,78,0.63369,0.83142
1998,Other Combinations,East,Just Right,0.61178,36,36,0.45033,0.77324
1999,Single-person household,West,A Bit Too Small,0.11260,138,1173,0.09451,0.13070
1999,Single-person household,West,Just Right,0.72416,878,1173,0.69857,0.74975
1999,Single-person household,West,A Bit Too Large,0.13071,157,1173,0.11141,0.15001
1999,Single-person household,East,A Bit Too Small,0.11007,44,409,0.07970,0.14044
1999,Single-person household,East,Just Right,0.78360,322,409,0.74365,0.82356
1999,Single-person household,East,A Bit Too Large,0.09441,43,409,0.06603,0.12278
1999,Couple without children,West,A Bit Too Small,0.11028,185,1523,0.09454,0.12601
1999,Couple without children,West,Just Right,0.75791,1170,1523,0.73639,0.77943
1999,Couple without children,West,A Bit Too Large,0.11945,168,1523,0.10315,0.13574
1999,Couple without children,East,A Bit Too Small,0.11936,69,593,0.09325,0.14548
1999,Couple without children,East,Just Right,0.76329,464,593,0.72905,0.79753
1999,Couple without children,East,A Bit Too Large,0.10530,60,593,0.08057,0.13002
1999,Single parent,West,A Bit Too Small,0.22709,70,282,0.17810,0.27607
1999,Single parent,West,Just Right,0.68543,212,282,0.63113,0.73972
1999,Single parent,East,Just Right,0.75191,105,105,0.66890,0.83492
1999,Couple with children,West,Much Too Small,0.02597,68,1981,0.01896,0.03298
1999,Couple with children,West,A Bit Too Small,0.21217,410,1981,0.19416,0.23018
1999,Couple with children,West,Just Right,0.70231,1407,1981,0.68216,0.72245
1999,Couple with children,West,A Bit Too Large,0.05631,96,1981,0.04615,0.06646
1999,Couple with children,East,A Bit Too Small,0.21448,153,708,0.18423,0.24474
1999,Couple with children,East,Just Right,0.70376,518,708,0.67010,0.73742
1999,Couple with children,East,A Bit Too Large,0.05663,37,708,0.03959,0.07367
1999,Multi-generational household,West,Just Right,0.70972,50,50,0.58263,0.83681
1999,Other Combinations,West,Just Right,0.80803,41,41,0.68597,0.93009
2000,Single-person household,West,Much Too Small,0.01669,41,2482,0.01165,0.02173
2000,Single-person household,West,A Bit Too Small,0.11535,283,2482,0.10278,0.12792
2000,Single-person household,West,Just Right,0.74257,1828,2482,0.72536,0.75977
2000,Single-person household,West,A Bit Too Large,0.10628,281,2482,0.09416,0.11841
2000,Single-person household,West,Much Too Large,0.01911,49,2482,0.01373,0.02450
2000,Single-person household,East,A Bit Too Small,0.09915,76,740,0.07761,0.12070
2000,Single-person household,East,Just Right,0.76947,581,740,0.73911,0.79984
2000,Single-person household,East,A Bit Too Large,0.10694,83,740,0.08466,0.12922
2000,Couple without children,West,A Bit Too Small,0.09381,264,2929,0.08325,0.10437
2000,Couple without children,West,Just Right,0.76173,2284,2929,0.74630,0.77716
2000,Couple without children,West,A Bit Too Large,0.12836,381,2929,0.11625,0.14048
2000,Couple without children,East,A Bit Too Small,0.08452,83,948,0.06680,0.10224
2000,Couple without children,East,Just Right,0.77787,750,948,0.75139,0.80434
2000,Couple without children,East,A Bit Too Large,0.12095,115,948,0.10018,0.14172
2000,Single parent,West,A Bit Too Small,0.18307,99,535,0.15027,0.21588
2000,Single parent,West,Just Right,0.70345,392,535,0.66471,0.74219
2000,Single parent,West,A Bit Too Large,0.08157,44,535,0.05835,0.10478
2000,Single parent,East,A Bit Too Small,0.21396,43,190,0.15549,0.27243
2000,Single parent,East,Just Right,0.67267,147,190,0.60577,0.73957
2000,Couple with children,West,Much Too Small,0.02859,111,3536,0.02309,0.03408
2000,Couple with children,West,A Bit Too Small,0.21055,707,3536,0.19711,0.22399
2000,Couple with children,West,Just Right,0.70539,2544,3536,0.69036,0.72042
2000,Couple with children,West,A Bit Too Large,0.05287,174,3536,0.04549,0.06025
2000,Couple with children,East,A Bit Too Small,0.20223,210,1047,0.17789,0.22657
2000,Couple with children,East,Just Right,0.73142,785,1047,0.70456,0.75828
