"year","alter_gr","mean","median","n","lower_confidence","upper_confidence"
"2016","35-65 Jahre alt","","","","",""
"2016","66 und Ã¤lter","18.49","14.02","303","16.95","20.03"
"2017","16-34 Jahre alt","34.17","37.5","4305","33.85","34.49"
"2017","35-65 Jahre alt","","","","",""
"2017","66 und Ã¤lter","18.1","15","367","16.67","19.53"
"2018","16-34 Jahre alt","33.75","37","4448","33.44","34.06"
"2018","35-65 Jahre alt","","","","",""
"2018","66 und Ã¤lter","16.23","12","394","14.99","17.47"
"2019","16-34 Jahre alt","37.21","40","655","36.37","38.05"
"2019","35-65 Jahre alt","36.56","40","460","35.49","37.63"
"2019","66 und Ã¤lter","","","","",""
