year,regtyp,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2008,Rural regions,West,2003,34.02534,33.52746,34.52321,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,38.00000,38.50000
2008,Rural regions,East,1652,37.34853,36.94228,37.75478,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
2009,Urban regions,West,5699,34.65034,34.38178,34.91891,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,37.50000,38.00000
2009,Urban regions,East,797,36.65038,36.07047,37.23029,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,39.00000,40.00000
2009,Rural regions,West,1877,34.72972,34.22889,35.23055,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,38.00000,38.50000
2009,Rural regions,East,1564,37.27061,36.85383,37.68738,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
2010,Urban regions,West,6127,34.35590,34.09415,34.61764,30.00000,37.50000,40.00000,15.00000,55.00000,37.5,37.00000,38.00000
2010,Urban regions,East,823,35.58799,34.92830,36.24768,34.00000,40.00000,40.00000,25.00000,49.00000,40.0,38.00000,40.00000
2010,Rural regions,West,2085,34.07979,33.59670,34.56288,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,37.50000,38.50000
2010,Rural regions,East,1619,36.95260,36.55980,37.34539,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
2011,Urban regions,West,7342,34.96319,34.72159,35.20480,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,38.00000,38.50000
2011,Urban regions,East,987,36.12663,35.52505,36.72820,32.00000,38.50000,40.00000,20.00000,52.00000,38.5,38.00000,40.00000
2011,Rural regions,West,2797,34.44763,34.04300,34.85225,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,38.00000,38.51000
2011,Rural regions,East,1903,36.80542,36.41998,37.19086,35.00000,40.00000,40.00000,27.50000,47.50000,40.0,40.00000,40.00000
2012,Urban regions,West,7305,34.06068,33.81345,34.30791,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,37.00000,38.00000
2012,Urban regions,East,982,35.56561,34.95606,36.17516,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,38.00000,40.00000
2012,Rural regions,West,2723,34.17252,33.76273,34.58232,30.00000,38.00000,40.00000,15.00000,55.00000,38.0,37.00000,38.00000
